business_id,name,review_id,date,stars
b3RN5ZF0F23CpXM9RIL1Zw,Big Sky,hkb8z2wtbFDcGezQIWQROQ,2014-01-22,3
cD_qyrx5p_OM1FyWv5c0og,Cardinal's Nest Sports Bar,XxNhdz8Fiz1WnvKGzDtubg,2013-05-21,1
ews1zoLozRjcTIQNthvPZg,KFC,7COFnqi5TPC-wB9LJSm3FA,2016-01-06,1
ews1zoLozRjcTIQNthvPZg,KFC,j5euINpYA2vgqnWqJGeObw,2012-03-12,1
ews1zoLozRjcTIQNthvPZg,KFC,oDXp6_qv6aX0KPpwEVQUOg,2015-05-15,1
ews1zoLozRjcTIQNthvPZg,KFC,uygWvbhYZB9SGrGgUlnPkw,2013-03-05,1
h5ZeHDpJXHkB-Sqa5gKsQw,McDonald's,iuA1bbf47tSrq35TiPdqBg,2017-02-14,4
h5ZeHDpJXHkB-Sqa5gKsQw,McDonald's,jPIeZ4TxFFU35_DwY1qKeg,2013-05-27,2
h5ZeHDpJXHkB-Sqa5gKsQw,McDonald's,2vgvv5Pb0YAdbWInQ3uPpw,2016-05-29,1
iLvrRnAVuPTF9wtU9U6BFg,Door Creek Orchard,wOTtpDQ1hTSENOuhzeJtdg,2011-01-09,5
qd7KHsn4B4q3CqNw-yxOWQ,Doughboys Pizza,NL6QnYwSWDPoVa2dVkCGXA,2017-02-28,5
tcnUoj0KNg1lDqhoGsRk0A,Nature's Corner,IvtC8OGOE3A020RnJYe2-w,2016-05-28,5
tcnUoj0KNg1lDqhoGsRk0A,Nature's Corner,u5Ul6u2AvtwfSPtCJqU-iA,2017-05-15,5
uQ3Ixx8WJL8UWPwFYDzncg,Abarrotes El Primo,PyZcoF03IhZ6chKt5D5H8A,2017-04-09,5
uQ3Ixx8WJL8UWPwFYDzncg,Abarrotes El Primo,57C-G3KNqwV9tAIdTI33LA,2017-05-07,5
uQ3Ixx8WJL8UWPwFYDzncg,Abarrotes El Primo,bNz46uQDU5RQZD_9dOPmdQ,2017-05-21,5
uQ3Ixx8WJL8UWPwFYDzncg,Abarrotes El Primo,9sP1QmA-ql0s7ZGetwbgbw,2016-02-10,4
xIjKMreStEC_PkSvfs64HQ,George's Chicken and Fish,5T8IiMAk68_YCaMLGLznBA,2017-05-27,5
xIjKMreStEC_PkSvfs64HQ,George's Chicken and Fish,MucBguy4PLL_4PP3GA6vhw,2017-01-20,5
xIjKMreStEC_PkSvfs64HQ,George's Chicken and Fish,6aSczxn99wxtN0_KsB8a8A,2017-04-22,5
xIjKMreStEC_PkSvfs64HQ,George's Chicken and Fish,HefsZvD2hHFgiAvf7KWmlQ,2017-02-12,5
xIjKMreStEC_PkSvfs64HQ,George's Chicken and Fish,xvZ12ut63hrbikJ7v_zsYQ,2017-05-25,5
xIjKMreStEC_PkSvfs64HQ,George's Chicken and Fish,1ncT_0IrEgVG5hZ0WBKaDw,2017-03-16,4
xIjKMreStEC_PkSvfs64HQ,George's Chicken and Fish,NFONs3TxK50AuvaBo11CEg,2017-01-25,4
